employee_id,first_name,last_name,role,store_id,email
132,Roger,Taylor,Stock Clerk,27,kayla04@yahoo.com
133,Alexandra,Quinn,Manager,32,bernarderic@johnson.org
134,Steve,Schwartz,Stock Clerk,31,jenna48@horton-flores.com
135,Eric,Smith,Cleaner,39,matthewknight@hotmail.com
136,Anthony,Gillespie,Security,38,jimmyjohnson@horne.com
137,Ashley,Salinas,Cleaner,2,charles20@gmail.com
138,George,Carter,Stock Clerk,29,alexanderevans@yahoo.com
139,Erica,Espinoza,Security,30,leah14@marshall-diaz.net
140,Colin,Contreras,Stock Clerk,16,destinyellison@jackson-cline.info
141,Bianca,Martinez,Cleaner,26,lucasdaniel@gates.com
142,Ashley,Sexton,Cleaner,19,cohenmatthew@walker-jackson.com
143,Candace,Sanchez,Manager,36,johnfarley@hotmail.com
144,Richard,Johnson,Stock Clerk,37,nicolemiller@ramsey.com
145,Manuel,Morgan,Security,36,randall27@werner-hutchinson.com
146,Dominic,Jones,Stock Clerk,31,asnyder@byrd.com
147,Donald,Garcia,Manager,18,kavery@freeman-hernandez.com
148,Lisa,Smith,Stock Clerk,32,thomas74@long.com
149,Jesse,Benson,Manager,46,martinezzachary@dillon.com
150,Anne,Austin,Stock Clerk,26,williamsrodney@hammond.com
151,Desiree,Acosta,Cashier,50,rachel89@stone.biz
152,Scott,Walker,Security,48,hking@parks.com
153,Stefanie,Klein,Stock Clerk,25,maryholmes@gmail.com
154,William,Pratt,Security,37,llee@gmail.com
155,Linda,Zamora,Stock Clerk,17,zmccoy@hotmail.com
156,Donna,Mcdowell,Stock Clerk,41,burnettsamuel@brown.info
157,Joseph,Nelson,Manager,30,julieharris@shelton.com
158,Tara,Carroll,Cashier,44,robertsalexandra@ramirez.com
159,Dustin,Evans,Cleaner,33,victoria05@thompson.com
160,Patrick,Cline,Manager,39,matthew27@marshall.com
161,Paul,Simmons,Stock Clerk,23,carrsherri@martin-kennedy.com
162,Tabitha,Collins,Stock Clerk,30,dshort@hotmail.com
163,Crystal,Ford,Manager,42,ggomez@everett.com
164,Kathryn,Shannon,Security,46,wsmith@yahoo.com
165,Julie,Ray,Security,25,martinezrandall@torres-adams.com
166,Todd,Robinson,Manager,43,bennettjennifer@arnold-randall.com
167,Calvin,Lynch,Security,38,janet52@gmail.com
168,Tyler,Keller,Manager,48,travis74@gmail.com
169,Patrick,Roberts,Security,6,joshuaellis@baldwin.com
170,Cathy,Conley,Cleaner,49,snoble@gmail.com
171,Lydia,Osborn,Manager,50,matthewpearson@hotmail.com
172,Christina,Davis,Cleaner,3,walkerjennifer@robinson.info
173,Henry,Chambers,Cleaner,17,dleblanc@schultz.org
174,Jonathan,Martinez,Cleaner,5,brittanywilson@floyd.com
175,Caleb,Winters,Cashier,2,grant67@jones-sanders.net
176,Willie,Sanchez,Cleaner,34,hernandezchristine@bird.info
177,Robert,Salas,Cleaner,41,baileyselena@hotmail.com
178,Sharon,Smith,Manager,49,angela58@bass-ward.org
179,Lori,Johnson,Stock Clerk,4,ronald62@yahoo.com
180,James,Evans,Stock Clerk,45,ygonzalez@dunn.biz
181,Donna,Smith,Stock Clerk,44,wwood@gmail.com
182,Alexandra,Stone,Manager,42,jennifer58@gmail.com
183,Keith,Fisher,Security,14,chenjennifer@gmail.com
184,Matthew,Caldwell,Cashier,16,denisepatel@hotmail.com
185,Shannon,Miranda,Security,44,ccarney@hotmail.com
186,Elizabeth,Moss,Manager,50,briannahansen@yahoo.com
187,Autumn,Frazier,Stock Clerk,1,rmendoza@yahoo.com
188,Harry,Martinez,Stock Clerk,23,dharris@wilson-carpenter.com
189,Jessica,Torres,Cleaner,41,laceysmith@davis.com
190,Robert,Fox,Manager,45,erinmurray@gmail.com
191,Janet,Snyder,Cashier,29,amysmith@yahoo.com
192,Brandon,Thompson,Stock Clerk,44,boyerterri@jenkins-davis.com
193,Travis,Hayes,Cleaner,44,mperez@hotmail.com
194,Kevin,Gutierrez,Cashier,14,ginafritz@hotmail.com
195,Rachel,Summers,Stock Clerk,43,laurareed@williams-cox.net
196,Jim,Reyes,Security,25,carlos00@ross.com
197,Victoria,Johnson,Cashier,18,drew69@campbell.com
198,Christian,Brown,Manager,2,nbell@gmail.com
199,Lisa,Howell,Cashier,15,jerry07@anderson.net
200,Thomas,Morris,Security,43,davidcox@ward.net
